subject_id,ICount,ITitle,possessive_pronoun,personal_pronoun,verbs,fog,fre,lwf,dcr,month,text_length,title_length,depression,anxiety,therapist,diagnosis,anti_depression
subject1064,0,0,0.0,0.0122,0.0122,27.055737704918034,12174.26999999997,121.7426999999997,0.2705573770491803,0.0078,0.2492,0.2492,1,4,0,0,0
subject1105,0,0,0.0,0.629,0.005,13.600000000000001,-425755.32999999565,0.0,0.136,0.1794,2.7168,2.7168,0,1,0,0,0
subject1264,0,0,0.0,0.0,0.0018,10.044444444444444,10938.080000000005,109.38080000000005,0.10044444444444445,0.003,0.0498,0.0498,1,0,0,0,0
subject1786,0,0,0.0,0.0,0.0004,22.8,7504.209999999963,75.04209999999962,0.228,0.0054,0.1018,0.1018,0,0,0,0,0
subject280,0,0,0.0,0.414,0.0004,22.8,491682.56000000675,4916.825600000067,0.228,0.1992,3.0032,3.0032,2,6,3,0,0
subject3301,0,0,0.0,0.0,0.0112,25.114285714285714,3816.049999999997,38.16049999999997,0.2511428571428571,0.0016,0.0398,0.0398,0,1,1,0,0
subject3357,0,0,0.0,0.0808,0.0038,11.705263157894738,-128757.71000000104,0.0,0.11705263157894738,0.01,0.3552,0.3552,1,0,0,0,0
subject3883,0,0,0.0,0.0,0.0024,10.133333333333333,19816.660000000018,198.1666000000002,0.10133333333333333,0.0068,0.08,0.08,0,0,0,0,0
subject4226,0,0,0.0,0.1134,0.0012,11.066666666666666,-113237.95999999964,0.0,0.11066666666666666,0.0696,0.6452,0.6452,0,0,0,0,0
subject4278,0,0,0.0,0.1134,0.001,12.0,322417.04999999463,3224.1704999999465,0.12,0.1566,1.8648,1.8648,1,2,0,0,0
subject4392,0,0,0.0,0.0,0.009,20.88888888888889,11258.69999999994,112.5869999999994,0.2088888888888889,0.0028,0.0964,0.0964,0,1,0,0,0
subject4479,0,0,0.0,0.0,0.0094,21.651063829787233,11832.539999999966,118.32539999999966,0.21651063829787234,0.0024,0.0508,0.0508,1,2,0,0,0
subject4505,0,0,0.0,0.0486,0.0094,21.651063829787233,29285.950000000066,292.85950000000065,0.21651063829787234,0.0106,0.2912,0.2912,2,1,0,0,0
subject4527,0,0,0.0,0.061,0.0116,25.889655172413793,-126447.67000000094,0.0,0.25889655172413795,0.0104,0.3472,0.3472,3,1,0,0,0
subject4785,0,0,0.0,0.1178,0.032,66.25,-139859.39999999982,0.0,0.6625,0.0052,0.5322,0.5322,0,3,0,0,0
subject4848,0,0,0.0,0.0,0.0132,29.006060606060608,3638.8099999999877,36.38809999999987,0.2900606060606061,0.0022,0.0232,0.0232,1,0,0,0,0
subject5112,0,0,0.0,0.0092,0.001,12.0,27729.850000000035,277.29850000000033,0.12,0.0058,0.12,0.12,0,0,0,0,0
subject5223,0,0,0.0,0.01,0.002,10.0,3931.619999999998,39.31619999999998,0.1,0.0026,0.0174,0.0174,0,0,0,0,0
subject569,0,0,0.0,0.0992,0.0234,49.141880341880345,-5134.91000000019,0.0,0.49141880341880345,0.0292,0.8816,0.8816,0,0,0,0,0
subject5840,0,0,0.0052,0.019,0.0026,10.276923076923078,560408.5399999905,5604.085399999905,0.10276923076923078,0.1994,1.7816,1.7816,0,0,0,0,0
subject5984,0,0,0.0,0.055,0.0206,43.588349514563106,114301.19000000168,1143.0119000000168,0.4358834951456311,0.0346,0.4272,0.4272,3,1,0,0,0
subject6013,0,0,0.0,0.045,0.0006,16.53333333333333,151092.16000000006,1510.9216000000006,0.1653333333333333,0.0888,0.691,0.691,2,0,1,0,0
subject6238,0,0,0.0,0.0072,0.0002,2.4000000000000004,167858.63000000012,1678.5863000000013,0.024000000000000004,0.0854,0.4312,0.4312,2,5,0,0,0
subject6668,0,0,0.0,0.0,0.0114,25.501754385964915,5342.980000000003,53.42980000000003,0.25501754385964914,0.0024,0.0324,0.0324,0,0,0,0,0
subject671,0,0,0.0,0.0456,0.0008,13.600000000000001,115432.62000000008,1154.3262000000009,0.136,0.025,0.465,0.465,0,1,0,0,0
subject6786,0,0,0.0,0.2154,0.005,13.600000000000001,85767.71999999447,857.6771999999447,0.136,0.1294,1.2586,1.2586,1,0,0,0,0
subject6899,0,0,0.0,0.0,0.0002,2.4000000000000004,28474.540000000026,284.74540000000025,0.024000000000000004,0.0158,0.0694,0.0694,0,0,0,0,0
subject7238,0,0,0.0,0.0016,0.0072,17.511111111111113,6989.589999999992,69.89589999999993,0.17511111111111113,0.0022,0.0634,0.0634,0,0,0,0,0
subject7290,0,0,0.0,0.0508,0.0136,29.788235294117648,-40868.99999999993,0.0,0.2978823529411765,0.0056,0.3162,0.3162,2,2,0,0,0
subject7435,0,0,0.0,1.8246,0.0008,13.600000000000001,-416410.5600000003,0.0,0.136,0.1964,2.098,2.098,0,0,0,0,0
subject7678,0,0,0.0,0.0356,0.0002,2.4000000000000004,-4364.280000000138,0.0,0.024000000000000004,0.0098,0.1842,0.1842,0,0,0,0,0
subject7946,0,0,0.0,0.084,0.0224,47.15714285714286,-171962.74000000439,0.0,0.4715714285714286,0.0184,0.7122,0.7122,1,0,0,0,0
subject8062,0,0,0.0,0.0,0.0252,52.717460317460315,-152297.7799999965,0.0,0.5271746031746032,0.0056,0.2928,0.2928,1,2,1,0,0
subject8064,0,0,0.0,0.0346,0.0036,11.422222222222224,110354.8699999995,1103.548699999995,0.11422222222222224,0.0334,0.5862,0.5862,0,0,0,0,0
subject8081,0,0,0.0,0.2592,0.0006,16.53333333333333,93464.09999999954,934.6409999999954,0.1653333333333333,0.0378,0.5744,0.5744,0,0,1,0,0
subject835,0,0,0.0046,0.0388,0.0296,61.47027027027028,8497.569999999723,84.97569999999723,0.6147027027027028,0.0058,0.2,0.2,2,1,0,0,0
subject8395,0,0,0.0,0.0,0.0118,26.277966101694915,10715.979999999954,107.15979999999954,0.26277966101694916,0.0028,0.0418,0.0418,0,0,1,0,0
subject8432,0,0,0.0,0.0332,0.0018,10.044444444444444,43591.20000000001,435.9120000000001,0.10044444444444445,0.0112,0.2158,0.2158,2,0,0,0,0
subject855,0,0,0.0,0.022,0.0136,29.788235294117648,300.2100000002965,3.0021000000029647,0.2978823529411765,0.0542,1.6816,1.6816,2,13,2,0,0
subject8581,0,0,0.0088,0.1592,0.0094,21.651063829787233,-529370.8500000008,0.0,0.21651063829787234,0.0108,0.7886,0.7886,21,2,4,0,0
subject8726,0,0,0.0,0.069,0.0318,65.85157232704402,297330.179999994,2973.30179999994,0.6585157232704403,0.1026,1.3512,1.3512,1,0,0,0,0
subject9014,0,0,0.0,0.0472,0.0426,87.38779342723005,-57535.250000000546,0.0,0.8738779342723005,0.0054,0.2748,0.2748,4,0,0,0,0
subject9039,0,0,0.0,0.0416,0.0114,25.501754385964915,34909.14000000017,349.09140000000167,0.25501754385964914,0.0212,0.7754,0.7754,3,45,36,0,0
subject9249,0,0,0.0108,0.0526,0.0132,29.006060606060608,129890.63999999367,1298.9063999999366,0.2900606060606061,0.1102,1.961,1.961,2,8,1,0,0
subject9285,0,0,0.0,0.0,0.0012,11.066666666666666,16949.42000000002,169.4942000000002,0.11066666666666666,0.0074,0.0582,0.0582,0,0,0,0,0
subject9318,0,0,0.0,0.0,0.0134,29.397014925373135,9571.789999999999,95.71789999999999,0.2939701492537313,0.005,0.0572,0.0572,0,0,0,0,0
subject9393,0,0,0.0,0.0208,0.002,10.0,-158004.2100000032,0.0,0.1,0.009,0.399,0.399,0,0,1,0,2
subject9917,0,0,0.0,0.0222,0.0034,11.15294117647059,-175819.71999999823,0.0,0.11152941176470589,0.029,1.2216,1.2216,8,13,2,0,0
